ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,totpop2019
Lomami,CD81,Lubao,CD8108ZS02,225282
Lomami,CD81,Tshofa,CD8108ZS03,146768
Lomami,CD81,Kalenda,CD8104ZS01,216713
Lomami,CD81,Kanda Kanda,CD8104ZS02,254408
Lomami,CD81,Luputa,CD8104ZS03,316126
Lomami,CD81,Wikong,CD8104ZS04,129489
Lomami,CD81,Makota,CD8103ZS01,256039
Lomami,CD81,Mwene Ditu,CD8103ZS02,461377
Lomami,CD81,Kalambayi Kabanga,CD8106ZS01,170845
Lomami,CD81,Mulumba,CD8106ZS02,313468
Lomami,CD81,Ngandajika,CD8106ZS03,339723
Lualaba,CD72,Dilolo,CD7205ZS01,195956
Lualaba,CD72,Kasaji,CD7205ZS02,284179
Lualaba,CD72,Kalamba,CD7207ZS01,102464
Lualaba,CD72,Kapanga,CD7207ZS02,161917
Lualaba,CD72,Bunkeya,CD7203ZS01,58145
Lualaba,CD72,Fungurume,CD7203ZS02,307063
Lualaba,CD72,Kanzenze,CD7203ZS03,105925
Lualaba,CD72,Lubudi,CD7203ZS04,86440
Lualaba,CD72,Dilala,CD7202ZS01,319289
Lualaba,CD72,Lualaba,CD7202ZS02,184842
Lualaba,CD72,Mutshatsha,CD7202ZS03,81423
Lualaba,CD72,Kafakumba,CD7206ZS01,134386
Lualaba,CD72,Sandoa,CD7206ZS02,234605
Maï-Ndombe,CD33,Bolobo,CD3308ZS01,145453
Maï-Ndombe,CD33,Banjow Moke,CD3302ZS01,123128
Maï-Ndombe,CD33,Inongo,CD3302ZS02,183709
Maï-Ndombe,CD33,Ntandembelo,CD3302ZS03,89333
Maï-Ndombe,CD33,Kiri,CD3303ZS01,117739
Maï-Ndombe,CD33,Penjwa,CD3303ZS02,79932
Maï-Ndombe,CD33,Bokoro,CD3306ZS01,231538
Maï-Ndombe,CD33,Nioki,CD3306ZS02,164333
Maï-Ndombe,CD33,Kwamouth,CD3307ZS01,131022
Maï-Ndombe,CD33,Mushie,CD3311ZS01,129462
Maï-Ndombe,CD33,Bosobe,CD3304ZS01,134608
Maï-Ndombe,CD33,Mimia,CD3304ZS02,58496
Maï-Ndombe,CD33,Oshwe,CD3304ZS03,155733
Maï-Ndombe,CD33,Yumbi,CD3310ZS01,125524
Maniema,CD63,Kabambare,CD6309ZS01,124618
Maniema,CD63,Lusangi,CD6309ZS02,181981
Maniema,CD63,Saramabila,CD6309ZS03,155420
Maniema,CD63,Kailo,CD6302ZS01,152457
Maniema,CD63,Kasongo,CD6311ZS01,239041
Maniema,CD63,Kunda,CD6311ZS02,285095
Maniema,CD63,Samba,CD6311ZS03,128969
Maniema,CD63,Kibombo,CD6313ZS01,112219
Maniema,CD63,Tunda,CD6313ZS02,90574
Maniema,CD63,Alunguli,CD6301ZS01,85376
Maniema,CD63,Kindu,CD6301ZS02,194971
Maniema,CD63,Lubutu,CD6305ZS01,128515
Maniema,CD63,Obokote,CD6305ZS02,86844
Maniema,CD63,Kalima,CD6307ZS01,147025
Maniema,CD63,Kampene,CD6307ZS02,155323
Maniema,CD63,Pangi,CD6307ZS03,100332
Maniema,CD63,Ferekeni,CD6303ZS01,76637
Maniema,CD63,Punia,CD6303ZS02,106919
Mongala,CD44,Bongandanga,CD4405ZS01,148634
Mongala,CD44,Boso Mondanda,CD4405ZS02,156643
Mongala,CD44,Bosondjo,CD4405ZS03,217210
Mongala,CD44,Pimu,CD4405ZS04,260197
Mongala,CD44,Bumba,CD4404ZS01,224279
Mongala,CD44,Lolo,CD4404ZS02,155926
Mongala,CD44,Yamaluka,CD4404ZS03,148540
Mongala,CD44,Yambuku,CD4404ZS04,305295
Mongala,CD44,Yamongili,CD4404ZS05,141860
Mongala,CD44,Binga,CD4402ZS01,283671
Mongala,CD44,Boso Manzi,CD4402ZS02,127699
Mongala,CD44,Lisala,CD4402ZS03,281003
Nord-Kivu,CD61,Beni,CD6109ZS01,408065
Nord-Kivu,CD61,Butembo,CD6110ZS01,337394
Nord-Kivu,CD61,Katwa,CD6110ZS02,438943
Nord-Kivu,CD61,Goma,CD6101ZS01,268616
Nord-Kivu,CD61,Karisimbi,CD6101ZS02,535406
Nord-Kivu,CD61,Alimbongo,CD6105ZS01,235304
Nord-Kivu,CD61,Biena,CD6105ZS02,126776
Nord-Kivu,CD61,Kayna,CD6105ZS03,374825
