"","HZ","p_cm","expert","p_cm_val","expert_date","horizon_end_date","horizon_start_date","delay","total_horizon","month","type","reported_cases","score_log","score_bri"
"183","MABALAKO",">=10",15,0.296,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",1,-1.21739582499591,0.704
"184","MABALAKO",">=2",7,0.854,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",1,-0.157824085310663,0.146
"185","MABALAKO",">=2",12,0.854,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",1,-0.157824085310663,0.146
"186","MABALAKO",">=2",15,0.854,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",1,-0.157824085310663,0.146
"187","MABALAKO",">=20",7,0.07,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",1,-2.65926003836135,0.93
"188","MABALAKO",">=20",12,0.07,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",1,-2.65926003836135,0.93
"189","MABALAKO",">=20",15,0.07,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",1,-2.65926003836135,0.93
"190","MABALAKO",">=6",7,0.54,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",1,-0.616186139609002,0.46
"191","MABALAKO",">=6",12,0.54,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",1,-0.616186139609002,0.46
"192","MABALAKO",">=6",15,0.54,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",1,-0.616186139609002,0.46
"193","MAMBASA",">=10",7,0.02,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.0202027072154786,0.02
"194","MAMBASA",">=10",12,0.02,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.0202027072154786,0.02
"195","MAMBASA",">=10",15,0.02,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.0202027072154786,0.02
"196","MAMBASA",">=2",7,0.268,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.311974764884213,0.268
