"","expert","HZ","p_cm","p_cm_val","expert_date","horizon_end_date","horizon_start_date","delay","total_horizon","month","type","reported_cases","institution","last.in.field","experience.ide","score_bri","score_log"
"41",12,"BENI",">=10",0.25,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0.25,-0.287682072318448
"42",12,"BENI",">=2",0.95,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,"LSHTM","<2 weeks ago",">5 years",0.05,-0.0512932944928137
"43",12,"BENI",">=20",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0,-1.00000008279037e-10
"44",12,"BENI",">=6",0.7,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,"LSHTM","<2 weeks ago",">5 years",0.3,-0.35667494408159
"45",12,"GOMA",">=10",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0,-1.00000008279037e-10
"46",12,"GOMA",">=2",0.1,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0.1,-0.105360515546715
"47",12,"GOMA",">=20",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0,-1.00000008279037e-10
"48",12,"GOMA",">=6",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0,-1.00000008279037e-10
"49",12,"KALUNGUTA",">=10",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0,-1.00000008279037e-10
"50",12,"KALUNGUTA",">=2",0.5,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0.5,-0.693147180359945
"51",12,"KALUNGUTA",">=20",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0,-1.00000008279037e-10
"52",12,"KALUNGUTA",">=6",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0,-1.00000008279037e-10
"53",12,"KATWA",">=10",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0,-1.00000008279037e-10
"54",12,"KATWA",">=2",0.2,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0.2,-0.22314355118921
"55",12,"KATWA",">=20",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0,-1.00000008279037e-10
"56",12,"KATWA",">=6",0.05,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0.05,-0.0512932942822874
"57",12,"LOLWA",">=10",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0,-1.00000008279037e-10
"58",12,"LOLWA",">=2",0.2,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0.2,-0.22314355118921
"59",12,"LOLWA",">=20",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0,-1.00000008279037e-10
"60",12,"LOLWA",">=6",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0,-1.00000008279037e-10
"61",12,"MABALAKO",">=10",0.15,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,"LSHTM","<2 weeks ago",">5 years",0.85,-1.89711998555255
"62",12,"MABALAKO",">=2",1,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,"LSHTM","<2 weeks ago",">5 years",0,-1.00000008279037e-10
"63",12,"MABALAKO",">=20",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,"LSHTM","<2 weeks ago",">5 years",1,-23.0258509299405
"64",12,"MABALAKO",">=6",0.65,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,"LSHTM","<2 weeks ago",">5 years",0.35,-0.4307829162463
"65",12,"MAMBASA",">=10",0.1,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0.1,-0.105360515546715
"66",12,"MAMBASA",">=2",0.9,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0.9,-2.30258509199405
"67",12,"MAMBASA",">=20",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0,-1.00000008279037e-10
"68",12,"MAMBASA",">=6",0.35,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0.35,-0.430782915938608
"69",12,"MANDIMA",">=10",0.5,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0.5,-0.693147180359945
"70",12,"MANDIMA",">=2",1,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,"LSHTM","<2 weeks ago",">5 years",0,-1.00000008279037e-10
"71",12,"MANDIMA",">=20",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0,-1.00000008279037e-10
"72",12,"MANDIMA",">=6",0.9,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,"LSHTM","<2 weeks ago",">5 years",0.1,-0.105360515768937
"73",12,"NYAKUNDE",">=10",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0,-1.00000008279037e-10
"74",12,"NYAKUNDE",">=2",0.2,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0.2,-0.22314355118921
"75",12,"NYAKUNDE",">=20",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0,-1.00000008279037e-10
"76",12,"NYAKUNDE",">=6",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0,-1.00000008279037e-10
"77",12,"OICHA",">=10",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0,-1.00000008279037e-10
"78",12,"OICHA",">=2",0.4,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,"LSHTM","<2 weeks ago",">5 years",0.6,-0.916290732124155
"79",12,"OICHA",">=20",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0,-1.00000008279037e-10
"80",12,"OICHA",">=6",0.1,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago",">5 years",0.1,-0.105360515546715
"81",15,"BENI",">=10",0.05,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0.05,-0.0512932942822874
"82",15,"BENI",">=2",0.8,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,"LSHTM","<2 weeks ago","<5 years",0.2,-0.22314355143921
"83",15,"BENI",">=20",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0,-1.00000008279037e-10
"84",15,"BENI",">=6",0.2,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,"LSHTM","<2 weeks ago","<5 years",0.8,-1.6094379129341
"85",15,"GOMA",">=10",0.1,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0.1,-0.105360515546715
"86",15,"GOMA",">=2",0.5,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0.5,-0.693147180359945
